SiteID;TS;NOx;NO2;NO;PM10;NVPM10;VPM10;NVPM2.5;PM2.5;VPM2.5;CO;O3;SO2;Loc;Lat;Long
501;1556578800;122.25;49.25;47.75;30.4;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1556593200;42.25;35.25;4.5;20.275;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1556690400;82.0;48.5;21.75;28.125;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1556733600;357.25;117.75;156.5;27.7;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1556805600;194.5;73.25;79.25;23.775;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1556816400;236.25;89.5;95.75;22.925;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1556848800;63.25;36.5;17.25;16.55;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1556852400;71.0;38.0;21.25;16.075;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1556866800;376.0;92.75;184.75;18.375;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1556892000;274.75;89.0;121.0;18.625;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1556902800;324.0;116.5;135.25;29.375;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1556931600;60.75;35.75;16.0;19.2;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1556949600;58.25;28.75;19.25;12.175;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1556982000;172.0;63.5;70.5;15.275;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1557032400;157.5;60.25;63.5;21.25;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1557036000;120.5;57.25;41.25;16.525;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1557050400;11.25;9.0;1.5;12.625;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1557075600;159.25;59.75;64.75;22.925;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1557079200;142.75;57.25;55.75;16.95;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1557090000;148.25;66.0;53.75;24.975;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1557126000;87.5;42.75;29.25;15.275;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1557133200;131.25;55.75;49.25;18.825;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1557144000;153.0;57.5;62.25;17.55;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1557180000;201.5;82.0;77.75;24.4;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1557187200;186.25;63.25;80.25;23.525;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1557216000;269.25;81.25;122.25;23.175;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1557219600;173.5;73.5;65.0;31.425;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1557237600;115.75;51.75;41.75;22.325;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1557252000;245.75;96.0;98.0;26.2;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1557273600;35.5;31.0;3.0;18.6;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1557284400;18.5;16.75;1.25;19.4;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1557295200;19.75;17.0;2.0;10.3;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1557331200;299.5;90.0;136.75;17.975;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1557453600;73.0;40.25;21.5;18.6;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1557475200;412.25;102.0;202.0;36.4;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1557547200;104.75;47.5;37.5;18.8;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1557597600;214.25;73.75;91.5;8.9;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1557601200;274.5;105.75;110.0;18.6;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1557608400;139.25;65.25;48.5;21.075;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1557612000;144.0;71.75;47.5;20.025;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1557651600;34.25;19.0;10.0;17.375;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1557666000;87.5;36.75;33.0;23.55;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1557694800;89.5;54.75;22.5;12.625;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1557734400;275.25;70.0;133.75;31.4;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1557741600;154.5;52.75;66.5;23.175;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1557745200;58.75;32.0;17.5;24.0;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1557756000;68.25;37.75;19.75;23.575;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1557774000;92.5;55.5;24.0;20.625;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1557795600;39.0;31.25;5.0;15.1;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1557802800;29.25;24.75;3.25;12.575;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1557828000;114.75;52.0;41.0;24.375;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1557860400;114.25;63.0;33.5;16.725;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1557896400;19.75;18.0;1.5;11.8;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1557910800;210.25;77.75;86.25;29.125;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1557921600;113.75;54.25;39.0;35.5;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1557997200;173.25;73.25;65.25;40.95;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1558000800;161.25;51.25;71.75;59.325;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1558094400;199.0;80.5;77.5;22.3;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1558130400;58.5;45.25;8.5;25.4;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1558155600;35.25;25.25;6.5;15.275;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1558191600;223.5;74.75;96.75;33.25;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1558278000;128.75;56.75;46.75;21.675;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1558310400;72.0;39.25;21.5;9.3;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1558314000;35.0;22.75;8.0;9.7;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1558335600;160.75;58.0;67.0;13.85;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1558339200;277.25;91.75;120.75;18.4;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1558346400;240.0;84.0;101.25;29.925;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1558364400;213.0;82.75;85.25;18.375;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1558382400;241.0;94.75;95.25;20.625;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1558411200;32.0;21.5;7.0;8.7;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1558501200;68.25;37.5;20.0;37.625;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1558512000;487.5;94.25;256.0;31.175;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1558526400;316.25;102.75;139.25;28.925;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1558530000;322.0;111.75;137.25;21.7;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1558551600;268.75;101.75;108.5;28.725;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1558566000;243.5;98.5;94.75;14.45;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1558573200;140.25;61.75;51.0;23.15;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1558681200;315.75;90.5;147.0;17.95;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1558717200;230.75;85.5;94.5;30.15;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1558746000;130.75;50.5;52.5;20.475;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1558749600;106.25;42.25;41.75;19.4;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1558767600;100.0;35.5;42.0;30.6;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1558785600;184.25;60.0;81.0;18.425;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1558792800;253.5;78.0;114.5;20.025;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1558825200;139.25;53.25;56.0;22.275;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1558972800;99.0;40.25;38.5;24.15;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1558980000;86.75;33.5;34.5;21.9;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1558990800;94.25;36.5;37.75;18.975;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1558998000;145.0;54.0;59.25;17.75;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1559062800;217.75;79.75;89.75;14.475;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1559070000;310.75;95.5;140.75;13.65;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1559080800;156.5;72.5;54.75;11.375;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1559102400;54.0;31.25;14.75;11.175;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1559203200;297.25;78.0;142.75;24.0;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1559235600;152.75;54.25;64.25;15.7;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1559239200;184.75;73.75;72.75;16.125;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1559278800;32.0;12.0;12.75;11.375;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1559282400;73.75;25.75;31.0;8.7;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
501;1559307600;288.0;80.5;135.25;22.5;;;;;;;;;Colston Avenue;51.455269382758324;-2.596648828557916
