SiteID;TS;NOx;NO2;NO;PM10;NVPM10;VPM10;NVPM2.5;PM2.5;VPM2.5;CO;O3;SO2;Loc;Lat;Long
228;Jun 26, 2003 06:00 AM;234.29;61.49;109.29;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 26, 2003 12:00 AM;101.21;54.12;26.29;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 25, 2003 09:00 PM;171.29;68.56;61.65;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 25, 2003 01:00 PM;325.03;101.98;137.88;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 25, 2003 07:00 AM;338.27;90.27;155.98;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 25, 2003 04:00 AM;312.23;61.01;161.68;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 24, 2003 02:00 PM;225.63;83.1;86.39;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 24, 2003 09:00 AM;270.89;73.3;124.28;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 24, 2003 05:00 AM;469.22;69.47;259.97;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 24, 2003 02:00 AM;50.09;28.16;12.6;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 23, 2003 07:00 PM;100.7;42.94;34.58;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 23, 2003 02:00 PM;153.42;49.39;64.77;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 23, 2003 08:00 AM;170.14;49.1;76.11;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 23, 2003 06:00 AM;223.83;60.0;103.36;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 23, 2003 12:00 AM;22.14;16.93;2.9;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 22, 2003 11:00 PM;38.4;25.44;6.91;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 21, 2003 10:00 PM;177.44;81.62;55.08;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 21, 2003 09:00 PM;258.34;96.29;97.52;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 21, 2003 05:00 PM;225.08;89.41;80.69;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 20, 2003 05:00 PM;143.49;57.76;51.38;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 20, 2003 01:00 PM;156.96;55.94;61.84;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 20, 2003 07:00 AM;235.24;65.17;106.88;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 20, 2003 05:00 AM;198.04;47.81;95.84;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 18, 2003 11:00 PM;13.86;9.47;3.24;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 18, 2003 06:00 AM;191.36;54.98;85.58;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 18, 2003 03:00 AM;58.59;26.54;19.5;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 17, 2003 01:00 PM;136.13;57.8;46.41;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 17, 2003 08:00 AM;280.14;91.32;116.04;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 17, 2003 07:00 AM;306.16;92.66;132.34;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 17, 2003 05:00 AM;313.12;84.48;143.63;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 16, 2003 09:00 PM;150.05;75.06;41.95;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 16, 2003 03:00 PM;379.75;130.34;151.5;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 16, 2003 01:00 AM;29.21;25.12;1.02;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 16, 2003 12:00 AM;63.67;36.91;14.54;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 15, 2003 09:00 PM;87.24;41.74;26.57;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 15, 2003 02:00 AM;82.1;52.16;14.81;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 14, 2003 11:00 PM;173.33;79.75;53.82;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 14, 2003 04:00 PM;276.94;120.68;90.5;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 14, 2003 01:00 PM;283.79;114.03;100.39;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 13, 2003 06:00 PM;163.92;67.22;57.48;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 13, 2003 01:00 PM;256.46;79.13;109.93;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 13, 2003 11:00 AM;223.31;68.18;96.46;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 13, 2003 10:00 AM;225.99;66.89;99.36;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 13, 2003 05:00 AM;206.71;51.3;98.86;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 12, 2003 11:00 PM;44.27;25.1;11.15;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 12, 2003 02:00 PM;150.57;54.31;58.86;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 12, 2003 12:00 PM;170.71;58.9;68.71;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 12, 2003 07:00 AM;248.93;72.87;109.85;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 12, 2003 06:00 AM;247.85;64.45;115.88;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 12, 2003 05:00 AM;212.47;54.75;100.01;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 12, 2003 03:00 AM;121.98;39.54;51.53;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 12, 2003 02:00 AM;38.23;22.47;9.2;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 12, 2003 12:00 AM;53.63;33.47;10.69;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 11, 2003 05:00 PM;159.13;57.85;61.76;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 11, 2003 04:00 AM;88.37;33.13;34.19;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 11, 2003 03:00 AM;33.43;19.6;8.8;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 10, 2003 12:00 PM;134.77;47.14;53.54;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 10, 2003 02:00 AM;21.72;16.57;3.45;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 09, 2003 04:00 PM;326.85;82.38;151.52;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
